ITEM;Serie de Bomba;Número de bombas;Caudal min (GPD);Caudal máx (GPD);Presión máx (psi);Clasificación de Área;Incluye PIT;Sensor de flujo;ANDE;PRECIO 2024;;;;;
1;mRoy A;1;10,2;102;285;NO;NO;NO;71500197625;9820;;;;;
2;mRoy A;1;10,2;102;285;NO;SI;NO;71500197624;10960;;;;;
3;mRoy A;1;10,2;102;285;SI;NO;NO;71500197623;9820;;;;;
4;mRoy A;1;10,2;102;285;SI;SI;NO;71500197622;11580;;;;;
5;mRoy A;1;9,3;93;740;NO;NO;NO;71500197621;9820;;;;;
6;mRoy A;1;9,3;93;740;NO;SI;NO;71500197620;10960;;;;;
7;mRoy A;1;9,3;93;740;SI;NO;NO;71500197619;9820;;;;;
8;mRoy A;1;9,3;93;740;SI;SI;NO;71500197618;11580;;;;;
9;mRoy A;1;7,8;78;1600;NO;NO;NO;71500197617;9820;;;;;
10;mRoy A;1;7,8;78;1600;NO;SI;NO;71500197616;10960;;;;;
11;mRoy A;1;7,8;78;1600;SI;NO;NO;71500197615;9820;;;;;
12;mRoy A;1;7,8;78;1600;SI;SI;NO;71500197614;11580;;;;;
13;mRoy A;2;10,2;102;285;NO;SI;NO;71500197607;26420;;;;;
14;mRoy A;2;10,2;102;285;NO;SI;SI;71500197606;41330;;;;;
15;mRoy A;2;10,2;102;285;SI;SI;NO;71500197605;34110;;;;;
16;mRoy A;2;10,2;102;285;SI;SI;SI;71500197604;49030;;;;;
17;mRoy A;2;9,3;93;740;NO;SI;NO;71500197603;26420;;;;;
18;mRoy A;2;9,3;93;740;NO;SI;SI;71500197602;41330;;;;;
19;mRoy A;2;9,3;93;740;SI;SI;NO;71500197601;34110;;;;;
20;mRoy A;2;9,3;93;740;SI;SI;SI;71500197600;49030;;;;;
21;mRoy A;2;7,8;78;1600;NO;SI;NO;71500197599;26420;;;;;
22;mRoy A;2;7,8;78;1600;NO;SI;SI;71500197598;41330;;;;;
23;mRoy A;2;7,8;78;1600;SI;SI;NO;71500197597;34110;;;;;
24;mRoy A;2;7,8;78;1600;SI;SI;SI;71500197596;49030;;;;;
25;mRoy A;1;3,2;32;285;NO;NO;NO;71500197591;8850;;;;;
26;mRoy A;1;3,2;32;285;NO;SI;NO;71500197590;10960;;;;;
27;mRoy A;1;3,2;32;285;SI;NO;NO;71500197589;9820;;;;;
28;mRoy A;1;3,2;32;285;SI;SI;NO;71500197588;11580;;;;;
29;mRoy A;1;2,8;28;740;NO;NO;NO;71500197587;8850;;;;;
30;mRoy A;1;2,8;28;740;NO;SI;NO;71500197586;10960;;;;;
31;mRoy A;1;2,8;28;740;SI;NO;NO;71500197585;9820;;;;;
32;mRoy A;1;2,8;28;740;SI;SI;NO;71500197584;11580;;;;;
33;mRoy A;1;2,9;29;1600;NO;NO;NO;71500197583;8850;;;;;
34;mRoy A;1;2,9;29;1600;NO;SI;NO;71500197582;10960;;;;;
35;mRoy A;1;2,9;29;1600;SI;NO;NO;71500197581;9820;;;;;
36;mRoy A;1;2,9;29;1600;SI;SI;NO;71500197580;11580;;;;;
37;mRoy A;2;3,2;32;285;NO;SI;NO;71500197575;26420;;;;;
38;mRoy A;2;3,2;32;285;NO;SI;SI;71500197574;41330;;;;;
39;mRoy A;2;3,2;32;285;SI;SI;NO;71500197573;34110;;;;;
40;mRoy A;2;3,2;32;285;SI;SI;SI;71500197572;49030;;;;;
41;mRoy A;2;2,8;28;740;NO;SI;NO;71500197571;26420;;;;;
42;mRoy A;2;2,8;28;740;NO;SI;SI;71500197570;41330;;;;;
43;mRoy A;2;2,8;28;740;SI;SI;NO;71500197569;34110;;;;;
44;mRoy A;2;2,8;28;740;SI;SI;SI;71500197568;49030;;;;;
45;mRoy A;2;2,9;29;1600;NO;SI;NO;71500197567;26420;;;;;
46;mRoy A;2;2,9;29;1600;NO;SI;SI;71500197566;41330;;;;;
47;mRoy A;2;2,9;29;1600;SI;SI;NO;71500197565;34110;;;;;
48;mRoy A;2;2,9;29;1600;SI;SI;SI;71500197564;49030;;;;;
49;mRoy XW;1;14;139;2900;SI;NO;NO;71500246575;;;;;;
50;mRoy B;1;190;1896;350;SI;NO;NO;71500256129;;;;;;
51;MCH;1;55;552;2400;SI;NO;NO;71500246574;;;;;;
52;mRoy XT;1;3;28;2900;SI;NO;NO;71500246007;;;;;;
